Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,,1,17595,703.8,17615,704.6,Player15,Player19,0.74,0.9,0.77,0.98
Away,PASS,,1,17634,705.36,17667,706.68,Player19,Player15,0.76,0.98,0.68,0.95
Away,PASS,,1,17667,706.68,17705,708.2,Player15,Player16,0.68,0.95,0.53,0.77
Away,PASS,,1,17745,709.8,17798,711.92,Player16,Player20,0.51,0.72,0.59,0.29
Away,PASS,,1,17846,713.84,17866,714.64,Player20,Player24,0.62,0.27,0.69,0.31
Away,PASS,,1,17866,714.64,17894,715.76,Player24,Player20,0.69,0.31,0.64,0.22
Away,PASS,,1,17985,719.4,18003,720.12,Player20,Player22,0.68,0.36,0.72,0.51
Away,PASS,,1,18003,720.12,18029,721.16,Player22,Player21,0.72,0.51,0.63,0.56
Away,PASS,,1,18091,723.64,18106,724.24,Player21,Player19,0.67,0.71,0.74,0.88
Away,PASS,,1,18127,725.08,18154,726.16,Player19,Player15,0.75,0.87,0.77,0.97
Away,BALL LOST,THEFT,1,18205,728.2,18205,728.2,Player15,,0.82,0.95,,
Away,BALL LOST,,1,18347,733.88,18383,735.32,Player20,,0.7,0.65,0.76,0.58
Away,BALL LOST,INTERCEPTION,1,19485,779.4,19526,781.04,Player20,,1.01,0.01,0.94,0.53
Away,BALL LOST,INTERCEPTION,1,19654,786.16,19675,787.0,Player15,,0.89,0.93,0.89,0.65
Away,PASS,,1,19777,791.08,19852,794.08,Player19,Player20,0.69,0.5,0.85,0.16
Away,BALL LOST,THEFT,1,19874,794.96,19874,794.96,Player20,,0.87,0.16,,
Away,PASS,,1,21052,842.08,21081,843.24,Player17,Player15,0.13,0.58,0.12,0.77
Away,PASS,,1,21097,843.88,21114,844.56,Player15,Player20,0.12,0.77,0.22,0.68
Away,PASS,,1,21637,865.48,21676,867.04,Player20,Player18,0.43,0.4,0.42,0.31
Away,PASS,,1,21706,868.24,21734,869.36,Player18,Player22,0.44,0.26,0.52,0.03
Away,PASS,,1,21774,870.96,21804,872.16,Player22,Player18,0.5,0.04,0.37,0.14
Away,PASS,,1,21864,874.56,21901,876.04,Player18,Player17,0.38,0.16,0.3,0.39
Away,PASS,,1,21942,877.68,21974,878.96,Player17,Player16,0.32,0.43,0.32,0.68
Away,PASS,,1,22008,880.32,22055,882.2,Player16,Player17,0.3,0.71,0.3,0.46
Away,PASS,,1,22091,883.64,22129,885.16,Player17,Player18,0.32,0.42,0.38,0.07
Away,PASS,,1,22191,887.64,22221,888.84,Player18,Player17,0.38,0.1,0.27,0.24
Away,PASS,,1,22254,890.16,22290,891.6,Player17,Player25,0.25,0.23,0.12,0.46
Away,PASS,,1,22340,893.6,22378,895.12,Player25,Player16,0.12,0.49,0.16,0.74
Away,BALL LOST,INTERCEPTION,1,22447,897.88,22520,900.8,Player16,,0.18,0.8,0.57,0.89
Away,PASS,,1,22926,917.04,22951,918.04,Player15,Player21,0.75,1.01,0.72,0.9
Away,PASS,,1,22951,918.04,22970,918.8,Player21,Player15,0.72,0.9,0.74,1.0
Away,PASS,,1,22984,919.36,23021,920.84,Player15,Player16,0.73,0.99,0.55,0.88
Away,PASS,,1,23080,923.2,23125,925.0,Player16,Player17,0.56,0.76,0.51,0.43
Away,PASS,,1,23161,926.44,23183,927.32,Player17,Player18,0.54,0.34,0.58,0.15
Away,PASS,,1,23227,929.08,23245,929.8,Player18,Player22,0.6,0.13,0.66,0.01
Away,PASS,,1,23418,936.72,23470,938.8,Player22,Player16,0.54,0.19,0.42,0.64
Away,PASS,,1,23479,939.16,23546,941.84,Player16,Player15,0.42,0.65,0.42,0.93
Away,PASS,,1,23546,941.84,23584,943.36,Player15,Player16,0.42,0.93,0.34,0.79
