Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,PASS,,1,20596,823.84,20633,825.32,Player6,Player2,0.46,0.62,0.54,0.35
Home,PASS,,1,20655,826.2,20675,827.0,Player2,Player5,0.54,0.33,0.51,0.19
Home,PASS,,1,20694,827.76,20722,828.88,Player5,Player6,0.51,0.19,0.45,0.35
Home,PASS,,1,20791,831.64,20816,832.64,Player6,Player5,0.42,0.29,0.46,0.19
Home,PASS,,1,20816,832.64,20856,834.24,Player5,Player2,0.46,0.19,0.54,0.32
Home,PASS,,1,20879,835.16,20914,836.56,Player2,Player4,0.53,0.34,0.51,0.69
Home,PASS,DEEP BALL,1,20940,837.6,21022,840.88,Player4,Player10,0.49,0.7,0.1,0.75
Home,BALL LOST,INTERCEPTION,1,21022,840.88,21055,842.2,Player10,,0.1,0.75,0.12,0.65
Home,PASS,,1,22522,900.88,22554,902.16,Player3,Player4,0.57,0.87,0.54,0.86
Home,PASS,HEAD,1,22554,902.16,22618,904.72,Player4,Player2,0.54,0.86,0.75,0.83
Home,PASS,,1,22618,904.72,22662,906.48,Player2,Player11,0.75,0.83,0.96,0.65
Home,BALL OUT,,1,22662,906.48,22721,908.84,Player11,,0.96,0.65,0.94,1.01
Home,PASS,,1,25120,1004.8,25147,1005.88,Player4,Player6,0.65,0.66,0.67,0.51
Home,PASS,,1,25168,1006.72,25213,1008.52,Player6,Player8,0.68,0.53,0.64,0.85
Home,PASS,,1,25288,1011.52,25321,1012.84,Player8,Player4,0.58,0.95,0.64,0.87
Home,PASS,,1,25358,1014.32,25403,1016.12,Player4,Player6,0.66,0.85,0.64,0.65
Home,PASS,,1,25450,1018.0,25492,1019.68,Player6,Player5,0.62,0.59,0.62,0.21
Home,PASS,,1,25529,1021.16,25566,1022.64,Player5,Player1,0.59,0.17,0.42,0.02
Home,PASS,,1,25566,1022.64,25598,1023.92,Player1,Player5,0.42,0.02,0.51,0.11
Home,PASS,,1,25618,1024.72,25638,1025.52,Player5,Player9,0.5,0.13,0.43,0.26
Home,PASS,,1,25647,1025.88,25665,1026.6,Player9,Player1,0.43,0.24,0.36,0.03
Home,BALL LOST,INTERCEPTION,1,25684,1027.36,25689,1027.56,Player1,,0.35,0.03,0.31,0.01
Home,PASS,,1,25918,1036.72,25945,1037.8,Player1,Player5,0.26,0.01,0.34,0.06
Home,PASS,,1,26084,1043.36,26124,1044.96,Player5,Player2,0.33,0.13,0.47,0.17
Home,PASS,,1,26124,1044.96,26178,1047.12,Player2,Player3,0.47,0.17,0.54,0.46
Home,BALL LOST,INTERCEPTION,1,26213,1048.52,26273,1050.92,Player3,,0.54,0.42,0.23,0.04
Home,PASS,,1,26347,1053.88,26399,1055.96,Player5,Player1,0.19,0.13,0.18,0.12
Home,PASS,,1,26399,1055.96,26419,1056.76,Player1,Player9,0.18,0.12,0.24,0.16
Home,BALL LOST,INTERCEPTION,1,26449,1057.96,26491,1059.64,Player9,,0.24,0.19,0.06,0.58
Home,BALL LOST,INTERCEPTION,1,27105,1084.2,27149,1085.96,Player8,,0.03,0.96,0.1,0.42
Home,PASS,,1,27178,1087.12,27235,1089.4,Player7,Player1,0.13,0.58,0.25,0.35
Home,PASS,,1,27240,1089.6,27268,1090.72,Player1,Player9,0.24,0.33,0.18,0.19
Home,PASS,,1,27311,1092.44,27345,1093.8,Player9,Player3,0.21,0.18,0.09,0.59
Home,BALL LOST,HEAD-INTERCEPTION,1,28158,1126.32,28197,1127.88,Player4,,0.64,0.7,0.54,0.68
Home,PASS,,1,28248,1129.92,28287,1131.48,Player7,Player10,0.56,0.75,0.53,0.84
Home,BALL LOST,THEFT,1,28341,1133.64,28341,1133.64,Player10,,0.55,0.91,,
Home,PASS,,1,28432,1137.28,28461,1138.44,Player3,Player9,0.7,0.67,0.54,0.42
Home,PASS,,1,28461,1138.44,28487,1139.48,Player9,Player5,0.54,0.42,0.62,0.48
Home,PASS,,1,28487,1139.48,28519,1140.76,Player5,Player6,0.62,0.48,0.61,0.53
Home,PASS,,1,28650,1146.0,28689,1147.56,Player6,Player4,0.6,0.57,0.61,0.77
Home,PASS,,1,28719,1148.76,28754,1150.16,Player4,Player8,0.57,0.81,0.45,0.97
Home,PASS,,1,28812,1152.48,28834,1153.36,Player8,Player6,0.45,0.89,0.48,0.75
Home,PASS,,1,29012,1160.48,29049,1161.96,Player6,Player2,0.53,0.54,0.57,0.26
Home,PASS,,1,29069,1162.76,29111,1164.44,Player2,Player3,0.56,0.24,0.6,0.57
Home,PASS,,1,29136,1165.44,29169,1166.76,Player3,Player4,0.59,0.58,0.56,0.78
Home,PASS,,1,29240,1169.6,29272,1170.88,Player4,Player3,0.54,0.83,0.64,0.61
Home,PASS,,1,29311,1172.44,29362,1174.48,Player3,Player2,0.64,0.6,0.62,0.26
Home,PASS,,1,29362,1174.48,29393,1175.72,Player2,Player5,0.62,0.26,0.58,0.12
Home,PASS,,1,29439,1177.56,29457,1178.28,Player5,Player9,0.56,0.09,0.42,0.15
Home,PASS,,1,29457,1178.28,29481,1179.24,Player9,Player6,0.42,0.15,0.51,0.24
Home,PASS,,1,29524,1180.96,29584,1183.36,Player6,Player8,0.48,0.27,0.27,0.94
Home,PASS,,1,29699,1187.96,29737,1189.48,Player8,Player4,0.09,0.82,0.22,0.71
Home,BALL LOST,OFFSIDE,1,29845,1193.8,29845,1193.8,Player10,,0.0,0.69,,
Home,PASS,,1,31199,1247.96,31236,1249.44,Player4,Player10,0.15,0.79,0.23,0.7
Home,PASS,,1,31246,1249.84,31281,1251.24,Player10,Player9,0.23,0.7,0.26,0.54
Home,BALL LOST,INTERCEPTION,1,31295,1251.8,31335,1253.4,Player9,,0.26,0.53,0.23,0.25
Home,PASS,,1,31360,1254.4,31380,1255.2,Player1,Player5,0.26,0.25,0.25,0.37
Home,PASS,,1,31380,1255.2,31433,1257.32,Player5,Player6,0.25,0.37,0.41,0.36
Home,PASS,,1,31433,1257.32,31462,1258.48,Player6,Player4,0.41,0.36,0.36,0.63
Home,BALL LOST,INTERCEPTION,1,32852,1314.08,32900,1316.0,Player9,,0.35,0.49,0.12,0.41
Home,PASS,,1,33049,1321.96,33081,1323.24,Player6,Player4,0.45,0.91,0.58,0.71
Home,PASS,,1,33138,1325.52,33173,1326.92,Player4,Player6,0.58,0.73,0.54,0.84
Home,PASS,,1,33260,1330.4,33298,1331.92,Player6,Player2,0.51,0.79,0.62,0.47
Home,PASS,,1,33298,1331.92,33329,1333.16,Player2,Player4,0.62,0.47,0.66,0.72
Home,PASS,,1,33376,1335.04,33427,1337.08,Player4,Player7,0.66,0.79,0.33,0.8
Home,PASS,HEAD,1,33427,1337.08,33446,1337.84,Player7,Player9,0.33,0.8,0.37,0.76
Home,BALL LOST,THEFT,1,33468,1338.72,33468,1338.72,Player9,,0.35,0.77,,
Home,BALL LOST,,1,33560,1342.4,33612,1344.48,Player5,,0.36,0.61,0.25,0.49
Home,PASS,GOAL KICK,1,34646,1385.84,34682,1387.28,Player11,Player4,0.96,0.61,0.83,0.87
Home,BALL LOST,,1,34747,1389.88,34867,1394.68,Player4,,0.82,0.92,0.11,0.77
Home,BALL OUT,HEAD,1,36022,1440.88,36121,1444.84,Player1,,0.95,0.44,0.94,-0.01
Home,PASS,,1,36441,1457.64,36476,1459.04,Player6,Player1,0.86,0.23,0.88,0.07
Home,PASS,,1,36476,1459.04,36501,1460.04,Player1,Player5,0.88,0.07,0.8,0.08
Home,BALL LOST,,1,37241,1489.64,37375,1495.0,Player2,,0.73,0.1,0.17,0.25
Home,PASS,,1,38287,1531.48,38318,1532.72,Player4,Player7,0.77,1.0,0.64,0.95
Home,BALL LOST,HEAD,1,38318,1532.72,38375,1535.0,Player7,,0.64,0.95,0.52,0.92
Home,PASS,,1,39124,1564.96,39160,1566.4,Player1,Player9,0.76,-0.01,0.69,0.02
Home,PASS,,1,39160,1566.4,39207,1568.28,Player9,Player1,0.69,0.02,0.81,0.02
Home,PASS,,1,39207,1568.28,39239,1569.56,Player1,Player2,0.81,0.02,0.89,0.15
Home,BALL LOST,,1,39239,1569.56,39276,1571.04,Player2,,0.89,0.15,0.64,0.07
Home,BALL OUT,,1,39951,1598.04,39998,1599.92,Player1,,0.73,0.07,0.7,-0.02
Home,PASS,,1,40439,1617.56,40472,1618.88,Player5,Player1,0.55,0.18,0.7,0.1
Home,PASS,,1,40499,1619.96,40539,1621.56,Player1,Player2,0.7,0.11,0.86,0.27
Home,PASS,,1,40585,1623.4,40618,1624.72,Player2,Player3,0.86,0.39,0.83,0.66
Home,PASS,,1,40704,1628.16,40724,1628.96,Player3,Player4,0.75,0.7,0.72,0.86
Home,PASS,,1,40752,1630.08,40770,1630.8,Player4,Player6,0.71,0.86,0.65,0.69
Home,PASS,,1,40794,1631.76,40819,1632.76,Player6,Player8,0.65,0.71,0.54,0.93
Home,PASS,,1,40933,1637.32,40953,1638.12,Player8,Player4,0.66,0.97,0.74,0.97
Home,PASS,,1,40980,1639.2,41045,1641.8,Player4,Player8,0.74,0.97,0.63,0.93
Home,PASS,,1,41089,1643.56,41106,1644.24,Player8,Player9,0.58,0.9,0.54,0.75
Home,PASS,,1,41195,1647.8,41240,1649.6,Player9,Player2,0.51,0.49,0.58,0.24
Home,PASS,,1,41240,1649.6,41277,1651.08,Player2,Player5,0.58,0.24,0.55,0.34
Home,PASS,,1,41277,1651.08,41315,1652.6,Player5,Player6,0.55,0.34,0.52,0.49
Home,PASS,,1,41349,1653.96,41396,1655.84,Player6,Player8,0.5,0.51,0.38,0.89
Home,BALL LOST,INTERCEPTION,1,41471,1658.84,41488,1659.52,Player8,,0.31,0.91,0.25,0.73
Home,BALL LOST,FORCED,1,42863,1714.52,42903,1716.12,Player4,,0.58,0.94,0.61,0.85
